Time	R.ASISX	R.ASISY	R.ASISZ	L.ASISX	L.ASISY	L.ASISZ	R.PSISX	R.PSISY	R.PSISZ	L.PSISX	L.PSISY	L.PSISZ	R.Iliac.CrestX	R.Iliac.CrestY	R.Iliac.CrestZ	L.Iliac.CrestX	L.Iliac.CrestY	L.Iliac.CrestZ	R.Thigh.Top.LateralX	R.Thigh.Top.LateralY	R.Thigh.Top.LateralZ	R.Thigh.Bottom.LateralX	R.Thigh.Bottom.LateralY	R.Thigh.Bottom.LateralZ	R.Thigh.Top.MedialX	R.Thigh.Top.MedialY	R.Thigh.Top.MedialZ	R.Thigh.Bottom.MedialX	R.Thigh.Bottom.MedialY	R.Thigh.Bottom.MedialZ	R.Shank.Top.LateralX	R.Shank.Top.LateralY	R.Shank.Top.LateralZ	R.Shank.Bottom.LateralX	R.Shank.Bottom.LateralY	R.Shank.Bottom.LateralZ	R.Shank.Top.MedialX	R.Shank.Top.MedialY	R.Shank.Top.MedialZ	R.Shank.Bottom.MedialX	R.Shank.Bottom.MedialY	R.Shank.Bottom.MedialZ	R.Heel.TopX	R.Heel.TopY	R.Heel.TopZ	R.Heel.BottomX	R.Heel.BottomY	R.Heel.BottomZ	R.Heel.LateralX	R.Heel.LateralY	R.Heel.LateralZ	L.Thigh.Top.LateralX	L.Thigh.Top.LateralY	L.Thigh.Top.LateralZ	L.Thigh.Bottom.LateralX	L.Thigh.Bottom.LateralY	L.Thigh.Bottom.LateralZ	L.Thigh.Top.MedialX	L.Thigh.Top.MedialY	L.Thigh.Top.MedialZ	L.Thigh.Bottom.MedialX	L.Thigh.Bottom.MedialY	L.Thigh.Bottom.MedialZ	L.Shank.Top.LateralX	L.Shank.Top.LateralY	L.Shank.Top.LateralZ	L.Shank.Bottom.LateralX	L.Shank.Bottom.LateralY	L.Shank.Bottom.LateralZ	L.Shank.Top.MedialX	L.Shank.Top.MedialY	L.Shank.Top.MedialZ	L.Shank.Bottom.MedialX	L.Shank.Bottom.MedialY	L.Shank.Bottom.MedialZ	L.Heel.TopX	L.Heel.TopY	L.Heel.TopZ	L.Heel.BottomX	L.Heel.BottomY	L.Heel.BottomZ	L.Heel.LateralX	L.Heel.LateralY	L.Heel.LateralZ	R.GTRX	R.GTRY	R.GTRZ	R.KneeX	R.KneeY	R.KneeZ	R.Knee.MedialX	R.Knee.MedialY	R.Knee.MedialZ	R.HFX	R.HFY	R.HFZ	R.TTX	R.TTY	R.TTZ	R.AnkleX	R.AnkleY	R.AnkleZ	R.Ankle.MedialX	R.Ankle.MedialY	R.Ankle.MedialZ	R.MT1X	R.MT1Y	R.MT1Z	R.MT5X	R.MT5Y	R.MT5Z	R.MT2X	R.MT2Y	R.MT2Z	L.GTRX	L.GTRY	L.GTRZ	L.KneeX	L.KneeY	L.KneeZ	L.Knee.MedialX	L.Knee.MedialY	L.Knee.MedialZ	L.HFX	L.HFY	L.HFZ	L.TTX	L.TTY	L.TTZ	L.AnkleX	L.AnkleY	L.AnkleZ	L.Ankle.MedialX	L.Ankle.MedialY	L.Ankle.MedialZ	L.MT1X	L.MT1Y	L.MT1Z	L.MT5X	L.MT5Y	L.MT5Z	L.MT2X	L.MT2Y	L.MT2Z
0	850.462	1049.92	1326.65	854.708	1050.52	1108.16	665.586	1098.09	1255.8	667.039	1096.4	1166.68	765.277	1132.76	1373.98	768.382	1129.46	1051.27	710.969	770.785	1416.98	719.081	660.2	1417.64	661.792	768.02	1366.74	666.191	657.853	1365.51	688.784	269.029	1435.58	697.465	189.239	1423.52	651.324	270.532	1396.15	657.608	191.38	1386.31	644.765	94.4801	1373.21	632.569	44.0961	1374.58	658.074	59.2421	1412.33	715.625	758.83	1019.45	726.577	648.996	1010.44	669.067	752.239	1069.76	674.084	641.945	1061.28	691.642	255.242	1004.45	701.873	176.429	1020.24	653.188	259.326	1041.07	663.153	175.674	1054.16	648.863	94.188	1071.4	637.38	44.1701	1072.24	670.469	55.1819	1027.26	768.292	964.647	1398.6	734.814	558.901	1415.42	722.512	535.878	1284.64	734.213	486.711	1422.59	789.427	475.664	1367.33	709.963	105.004	1411.21	733.086	121.28	1327.27	862.516	66.2574	1323.61	838.394	56.989	1435.8	865.889	74.7373	1366.89	776.458	953.789	1031.52	736.729	551.952	1011.66	715.439	530.049	1140.31	723.842	483.997	1007.8	780.972	459.959	1062.82	713.202	106.324	1030.54	735.404	119.141	1112.06	864.988	63.6588	1121.75	838.746	47.4824	1005.18	871.546	71.2505	1073.83
0.007	850.329	1049.92	1326.55	854.691	1050.53	1108.17	665.572	1098.09	1255.8	667.012	1096.4	1166.69	765.266	1132.77	1373.98	768.359	1129.46	1051.27	710.953	770.796	1416.99	719.071	660.194	1417.65	661.777	768.023	1366.74	666.176	657.853	1365.53	688.787	269.028	1435.58	697.468	189.238	1423.51	651.313	270.531	1396.15	657.607	191.383	1386.3	644.764	94.4725	1373.22	632.565	44.0884	1374.58	658.065	59.2395	1412.33	715.611	758.839	1019.46	726.555	649.003	1010.45	669.05	752.239	1069.76	674.063	641.943	1061.28	691.634	255.24	1004.45	701.885	176.425	1020.24	653.17	259.341	1041.08	663.145	175.673	1054.17	648.868	94.1831	1071.4	637.38	44.1718	1072.24	670.468	55.1845	1027.26	768.266	964.647	1398.6	734.8	558.89	1415.42	722.541	535.894	1284.66	734.208	486.714	1422.58	789.421	475.666	1367.34	709.988	105.03	1411.21	733.08	121.283	1327.26	862.511	66.2627	1323.63	838.391	56.9886	1435.81	865.886	74.7178	1366.87	776.42	953.793	1031.53	736.719	551.96	1011.66	715.423	530.06	1140.32	723.823	484	1007.8	781.097	460.448	1062.3	713.205	106.316	1030.55	735.403	119.134	1112.05	864.98	63.6641	1121.75	838.744	47.4826	1005.17	871.544	71.2515	1073.83
0.013	850.304	1049.93	1326.54	854.665	1050.53	1108.17	665.55	1098.1	1255.79	666.99	1096.4	1166.69	765.248	1132.78	1373.99	768.341	1129.47	1051.27	710.943	770.791	1416.99	719.059	660.205	1417.65	661.761	768.018	1366.74	666.165	657.854	1365.55	688.785	269.03	1435.58	697.463	189.244	1423.52	651.316	270.53	1396.15	657.606	191.38	1386.31	644.767	94.4815	1373.22	632.573	44.0895	1374.58	658.073	59.2444	1412.32	715.593	758.84	1019.46	726.533	648.998	1010.44	669.03	752.237	1069.77	674.05	641.943	1061.28	691.632	255.236	1004.46	701.874	176.432	1020.24	653.174	259.325	1041.08	663.151	175.665	1054.16	648.866	94.1749	1071.39	637.378	44.1752	1072.24	670.461	55.1823	1027.26	768.254	964.638	1398.62	734.793	558.897	1415.44	722.542	535.891	1284.68	734.202	486.717	1422.59	789.413	475.671	1367.33	709.992	105.018	1411.21	733.089	121.275	1327.28	862.501	66.2565	1323.61	838.393	56.9969	1435.82	865.876	74.7446	1366.89	776.401	953.799	1031.52	736.707	551.957	1011.66	715.422	530.063	1140.31	723.705	483.955	1007.84	781.093	460.442	1062.29	713.203	106.32	1030.55	735.4	119.157	1112.06	864.986	63.6634	1121.74	838.737	47.4857	1005.17	871.537	71.2528	1073.82
0.02	850.293	1049.92	1326.54	854.654	1050.53	1108.18	665.519	1098.09	1255.81	666.961	1096.4	1166.7	765.229	1132.8	1373.99	768.312	1129.48	1051.29	710.929	770.789	1417	719.057	660.202	1417.67	661.743	768.013	1366.75	666.159	657.843	1365.54	688.779	269.028	1435.58	697.461	189.245	1423.51	651.312	270.53	1396.15	657.609	191.384	1386.32	644.758	94.4798	1373.22	632.568	44.0969	1374.59	658.071	59.2483	1412.32	715.586	758.833	1019.48	726.522	648.998	1010.45	669.011	752.232	1069.77	674.038	641.944	1061.28	691.632	255.241	1004.46	701.872	176.426	1020.24	653.169	259.319	1041.09	663.148	175.668	1054.17	648.87	94.1817	1071.4	637.384	44.1738	1072.24	670.466	55.1812	1027.26	768.225	964.653	1398.61	734.799	558.898	1415.43	722.542	535.892	1284.67	734.201	486.713	1422.59	789.418	475.67	1367.35	709.988	105.02	1411.21	733.088	121.276	1327.27	862.519	66.2644	1323.62	838.389	56.9855	1435.81	865.896	74.7342	1366.88	776.373	953.796	1031.54	736.703	551.963	1011.66	715.427	530.058	1140.32	723.71	483.961	1007.84	781.517	460.742	1061.95	713.199	106.319	1030.53	735.391	119.13	1112.05	864.99	63.6645	1121.73	838.74	47.4792	1005.17	871.543	71.2456	1073.82
0.027	850.279	1049.93	1326.54	854.634	1050.53	1108.18	665.493	1098.08	1255.81	666.927	1096.4	1166.71	765.206	1132.81	1373.99	768.284	1129.48	1051.29	710.919	770.787	1417.01	719.055	660.2	1417.68	661.726	768.007	1366.76	666.139	657.841	1365.56	688.781	269.029	1435.59	697.462	189.239	1423.52	651.313	270.525	1396.17	657.599	191.385	1386.31	644.761	94.4785	1373.22	632.564	44.0909	1374.58	658.072	59.2398	1412.32	715.563	758.835	1019.48	726.507	648.998	1010.46	668.987	752.226	1069.78	674.011	641.936	1061.3	691.625	255.228	1004.46	701.865	176.437	1020.25	653.17	259.322	1041.08	663.145	175.666	1054.18	648.869	94.1845	1071.4	637.383	44.1791	1072.24	670.466	55.174	1027.27	768.208	964.649	1398.62	734.803	558.898	1415.43	722.525	535.895	1284.67	734.197	486.715	1422.6	789.408	475.668	1367.34	709.991	105.017	1411.21	733.079	121.272	1327.27	862.52	66.2647	1323.62	838.399	56.9855	1435.8	865.891	74.7451	1366.9	776.354	953.8	1031.53	736.673	551.953	1011.67	715.427	530.055	1140.33	723.683	483.958	1007.85	781.501	460.741	1061.96	713.197	106.319	1030.54	735.405	119.134	1112.07	864.986	63.6548	1121.74	838.744	47.4695	1005.19	871.545	71.2501	1073.83
0.033	850.257	1049.93	1326.55	854.606	1050.53	1108.18	665.472	1098.08	1255.82	666.901	1096.39	1166.72	765.181	1132.82	1373.99	768.266	1129.48	1051.3	710.911	770.781	1417.01	719.048	660.195	1417.69	661.71	768.004	1366.78	666.137	657.839	1365.57	688.775	269.022	1435.57	697.467	189.241	1423.51	651.306	270.526	1396.15	657.601	191.381	1386.32	644.755	94.4781	1373.22	632.563	44.0943	1374.58	658.067	59.2417	1412.32	715.544	758.833	1019.48	726.496	648.994	1010.46	668.97	752.228	1069.79	674.006	641.933	1061.3	691.616	255.238	1004.46	701.866	176.426	1020.25	653.169	259.319	1041.09	663.137	175.664	1054.18	648.864	94.1811	1071.4	637.377	44.1799	1072.24	670.474	55.1759	1027.26	768.196	964.651	1398.62	734.802	558.899	1415.43	722.515	535.885	1284.69	734.193	486.704	1422.6	789.413	475.655	1367.34	709.995	105.023	1411.22	733.082	121.27	1327.27	862.509	66.2583	1323.62	838.393	56.9846	1435.81	865.896	74.7373	1366.88	776.342	953.795	1031.54	736.668	551.952	1011.67	715.411	530.059	1140.32	723.698	483.946	1007.85	782.741	462.739	1062.52	713.205	106.324	1030.54	735.401	119.132	1112.06	864.992	63.6578	1121.74	838.753	47.4771	1005.18	871.548	71.2434	1073.83
0.04	850.238	1049.93	1326.54	854.6	1050.54	1108.19	665.446	1098.08	1255.82	666.87	1096.38	1166.72	765.157	1132.82	1373.99	768.241	1129.49	1051.32	710.904	770.782	1417.02	719.048	660.193	1417.69	661.696	768	1366.8	666.132	657.83	1365.59	688.77	269.026	1435.58	697.463	189.242	1423.52	651.307	270.526	1396.16	657.596	191.382	1386.31	644.753	94.4764	1373.22	632.563	44.0941	1374.59	658.072	59.2345	1412.32	715.516	758.835	1019.49	726.473	648.997	1010.46	668.955	752.226	1069.8	673.994	641.934	1061.31	691.606	255.231	1004.46	701.855	176.43	1020.24	653.162	259.316	1041.1	663.136	175.665	1054.19	648.862	94.1847	1071.4	637.384	44.1747	1072.23	670.467	55.1831	1027.26	768.171	964.652	1398.63	734.799	558.893	1415.43	722.499	535.896	1284.68	734.193	486.705	1422.62	789.399	475.663	1367.33	709.994	105.014	1411.21	733.079	121.281	1327.28	862.504	66.26	1323.62	838.397	56.99	1435.81	865.892	74.7289	1366.89	776.31	953.801	1031.54	736.66	551.964	1011.67	715.416	530.059	1140.32	723.674	483.964	1007.85	782.723	462.737	1062.52	713.206	106.324	1030.54	735.392	119.135	1112.05	864.992	63.6518	1121.74	838.746	47.4767	1005.17	871.549	71.2438	1073.82
0.047	850.212	1049.93	1326.55	854.575	1050.54	1108.19	665.425	1098.08	1255.83	666.849	1096.38	1166.74	765.127	1132.84	1374	768.218	1129.49	1051.32	710.896	770.773	1417.02	719.047	660.187	1417.69	661.681	767.996	1366.79	666.12	657.826	1365.6	688.773	269.024	1435.58	697.459	189.238	1423.52	651.3	270.521	1396.16	657.603	191.375	1386.31	644.755	94.4722	1373.22	632.564	44.0926	1374.58	658.063	59.2406	1412.33	715.5	758.828	1019.5	726.463	648.998	1010.47	668.936	752.222	1069.81	673.984	641.924	1061.33	691.602	255.237	1004.47	701.86	176.427	1020.26	653.154	259.324	1041.1	663.142	175.646	1054.19	648.868	94.1809	1071.4	637.384	44.1746	1072.25	670.473	55.1804	1027.26	768.165	964.649	1398.63	734.795	558.892	1415.44	722.501	535.905	1284.7	734.189	486.701	1422.62	789.406	475.668	1367.34	709.995	105.02	1411.21	733.077	121.276	1327.27	862.514	66.2614	1323.62	838.395	56.9822	1435.81	865.896	74.735	1366.88	776.289	953.811	1031.54	736.644	551.957	1011.68	715.415	530.044	1140.33	723.669	483.954	1007.86	782.716	462.754	1062.52	713.19	106.33	1030.55	735.407	119.123	1112.05	864.994	63.6557	1121.74	838.744	47.4786	1005.17	871.549	71.2518	1073.82
0.053	850.194	1049.94	1326.55	854.534	1050.56	1108.18	665.402	1098.08	1255.84	666.81	1096.39	1166.75	765.107	1132.83	1374	768.196	1129.5	1051.33	710.886	770.768	1417.02	719.031	660.186	1417.7	661.668	767.989	1366.81	666.111	657.814	1365.6	688.763	269.028	1435.57	697.459	189.237	1423.52	651.296	270.52	1396.15	657.599	191.375	1386.31	644.755	94.4767	1373.22	632.563	44.087	1374.58	658.068	59.2379	1412.33	715.483	758.837	1019.5	726.446	649.001	1010.48	668.916	752.216	1069.82	673.951	641.937	1061.33	691.584	255.242	1004.46	701.853	176.426	1020.25	653.143	259.322	1041.11	663.132	175.646	1054.2	648.865	94.171	1071.41	637.374	44.1762	1072.25	670.467	55.176	1027.26	768.147	964.655	1398.65	734.798	558.891	1415.44	722.468	535.916	1284.69	734.192	486.691	1422.61	789.399	475.671	1367.33	709.994	105.017	1411.21	733.079	121.277	1327.28	862.518	66.2647	1323.62	838.393	56.9835	1435.81	865.897	74.7352	1366.88	776.266	953.804	1031.54	736.635	551.956	1011.68	715.392	530.064	1140.35	723.657	483.956	1007.86	782.713	462.751	1062.51	713.208	106.324	1030.55	735.393	119.13	1112.04	864.998	63.6656	1121.73	838.744	47.4806	1005.17	871.545	71.2504	1073.82
0.06	850.185	1049.94	1326.57	854.523	1050.56	1108.19	665.382	1098.08	1255.84	666.779	1096.39	1166.75	765.091	1132.82	1374.01	768.184	1129.51	1051.34	710.866	770.771	1417.04	719.028	660.182	1417.7	661.645	767.987	1366.82	666.107	657.809	1365.6	688.772	269.021	1435.57	697.462	189.231	1423.52	651.3	270.518	1396.16	657.604	191.376	1386.31	644.755	94.4709	1373.22	632.562	44.0943	1374.58	658.069	59.2342	1412.33	715.461	758.835	1019.51	726.43	648.997	1010.48	668.892	752.218	1069.83	673.948	641.922	1061.35	691.589	255.235	1004.47	701.843	176.424	1020.26	653.14	259.303	1041.12	663.131	175.642	1054.2	648.862	94.1764	1071.4	637.374	44.1778	1072.23	670.467	55.1794	1027.26	768.127	964.665	1398.64	734.796	558.882	1415.44	722.491	535.905	1284.69	734.192	486.704	1422.63	789.404	475.666	1367.34	709.987	105.015	1411.21	733.085	121.279	1327.28	862.518	66.2587	1323.63	838.4	56.9861	1435.81	865.895	74.7293	1366.88	776.244	953.817	1031.52	736.623	551.957	1011.69	715.393	530.052	1140.33	723.64	483.96	1007.87	782.714	462.761	1062.51	713.19	106.324	1030.55	735.392	119.129	1112.06	865	63.6594	1121.73	838.747	47.4812	1005.17	871.551	71.2459	1073.81
0.067	850.165	1049.94	1326.56	854.5	1050.56	1108.2	665.36	1098.08	1255.86	666.759	1096.38	1166.77	765.069	1132.83	1374.02	768.162	1129.52	1051.34	710.853	770.771	1417.05	719.016	660.188	1417.71	661.636	767.982	1366.84	666.093	657.817	1365.62	688.766	269.031	1435.58	697.457	189.241	1423.53	651.294	270.521	1396.15	657.598	191.374	1386.32	644.755	94.483	1373.22	632.565	44.0909	1374.58	658.061	59.2432	1412.34	715.434	758.835	1019.51	726.411	649.014	1010.49	668.872	752.22	1069.84	673.922	641.935	1061.35	691.588	255.229	1004.48	701.838	176.422	1020.26	653.132	259.311	1041.12	663.128	175.636	1054.21	648.86	94.1765	1071.41	637.379	44.1684	1072.24	670.467	55.1779	1027.26	768.121	964.661	1398.64	734.786	558.891	1415.44	722.48	535.902	1284.7	734.179	486.708	1422.64	789.394	475.668	1367.33	709.982	105.022	1411.22	733.078	121.283	1327.28	862.516	66.2561	1323.62	838.403	56.99	1435.8	865.899	74.7354	1366.88	776.22	953.818	1031.52	736.615	551.964	1011.69	715.395	530.063	1140.33	723.628	483.951	1007.86	782.694	462.764	1062.51	713.206	106.324	1030.54	735.405	119.147	1112.07	864.999	63.6626	1121.72	838.753	47.4778	1005.17	871.55	71.249	1073.82
0.073	850.155	1049.94	1326.56	854.485	1050.57	1108.21	665.341	1098.08	1255.86	666.724	1096.38	1166.78	765.058	1132.83	1374.03	768.135	1129.51	1051.35	710.831	770.776	1417.06	719.009	660.178	1417.71	661.626	767.969	1366.83	666.083	657.809	1365.62	688.764	269.018	1435.58	697.455	189.234	1423.53	651.29	270.521	1396.14	657.6	191.369	1386.31	644.756	94.4716	1373.22	632.562	44.0912	1374.58	658.063	59.2351	1412.34	715.412	758.827	1019.52	726.386	649.013	1010.5	668.851	752.216	1069.85	673.906	641.928	1061.37	691.574	255.233	1004.48	701.833	176.422	1020.26	653.136	259.299	1041.12	663.12	175.645	1054.2	648.859	94.1834	1071.4	637.381	44.1724	1072.24	670.475	55.181	1027.26	768.11	964.666	1398.66	734.772	558.89	1415.46	722.482	535.894	1284.71	734.19	486.7	1422.63	789.396	475.664	1367.34	709.993	105.02	1411.22	733.088	121.277	1327.27	862.516	66.2604	1323.62	838.4	56.9832	1435.81	865.902	74.7254	1366.89	776.199	953.81	1031.53	736.58	551.962	1011.69	715.382	530.068	1140.35	723.611	483.959	1007.87	782.685	462.778	1062.51	713.201	106.322	1030.55	735.407	119.149	1112.06	864.998	63.6583	1121.73	838.754	47.4808	1005.17	871.553	71.249	1073.81
0.08	850.136	1049.93	1326.58	854.475	1050.57	1108.23	665.321	1098.08	1255.88	666.697	1096.38	1166.77	765.051	1132.81	1374.06	768.124	1129.52	1051.35	710.821	770.769	1417.06	718.994	660.181	1417.72	661.608	767.97	1366.84	666.072	657.805	1365.62	688.756	269.03	1435.58	697.45	189.229	1423.54	651.289	270.509	1396.16	657.595	191.365	1386.32	644.748	94.4727	1373.22	632.563	44.086	1374.58	658.06	59.237	1412.34	715.384	758.836	1019.53	726.372	649.008	1010.51	668.838	752.208	1069.87	673.893	641.92	1061.37	691.569	255.212	1004.49	701.829	176.416	1020.26	653.126	259.291	1041.12	663.113	175.641	1054.22	648.863	94.1759	1071.4	637.371	44.1777	1072.24	670.477	55.1633	1027.26	768.088	964.656	1398.65	734.76	558.882	1415.46	722.5	535.88	1284.71	734.177	486.705	1422.65	789.389	475.654	1367.36	709.988	105.012	1411.22	733.101	121.271	1327.27	862.524	66.2493	1323.62	838.4	56.9914	1435.82	865.898	74.7242	1366.9	776.185	953.792	1031.55	736.572	551.957	1011.69	715.374	530.056	1140.35	723.604	483.954	1007.87	782.675	462.768	1062.5	713.194	106.308	1030.54	735.404	119.133	1112.06	865.008	63.6467	1121.73	838.754	47.4698	1005.17	871.558	71.2446	1073.81
0.087	850.114	1049.92	1326.58	854.435	1050.57	1108.23	665.299	1098.07	1255.87	666.67	1096.39	1166.79	765.033	1132.81	1374.06	768.094	1129.51	1051.37	710.81	770.768	1417.06	718.978	660.186	1417.72	661.603	767.968	1366.84	666.061	657.8	1365.62	688.741	269.021	1435.58	697.451	189.218	1423.53	651.284	270.5	1396.14	657.593	191.357	1386.32	644.753	94.4689	1373.22	632.566	44.081	1374.58	658.05	59.2331	1412.34	715.351	758.84	1019.54	726.336	649.013	1010.51	668.802	752.212	1069.87	673.866	641.922	1061.38	691.552	255.22	1004.48	701.814	176.419	1020.26	653.108	259.292	1041.12	663.112	175.641	1054.2	648.86	94.1782	1071.4	637.372	44.1655	1072.25	670.466	55.1717	1027.25	768.075	964.659	1398.66	734.744	558.885	1415.46	722.47	535.881	1284.72	734.161	486.696	1422.65	789.362	475.641	1367.36	709.98	105.009	1411.22	733.089	121.264	1327.26	862.508	66.2494	1323.63	838.388	56.9919	1435.82	865.895	74.7211	1366.89	776.147	953.806	1031.54	736.549	551.965	1011.69	715.351	530.07	1140.35	723.573	483.962	1007.87	782.675	462.777	1062.49	713.198	106.299	1030.55	735.399	119.136	1112.06	864.992	63.6439	1121.72	838.75	47.4724	1005.17	871.547	71.2468	1073.82
